task_id,path,W,H,Wb,Hb,rotated,area,bucket_area,overhead,fill_deficit,Wb4,Hb4,bucket_area4,overhead4,Wb8,Hb8,bucket_area8,overhead8,Wb4sq,Hb4sq,bucket_area4sq,overhead4sq,inputs_unique_sizes,outputs_unique_sizes,inputs_uniform,outputs_uniform
0934a4d8,dataset/raw-data/ARC-ALL/data/evaluation/0934a4d8.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,1,5,1,0
135a2760,dataset/raw-data/ARC-ALL/data/evaluation/135a2760.json,29,29,30,30,0,841,900,1.070155,0.065556,32,32,1024,1.217598,32,32,1024,1.217598,32,32,1024,1.217598,3,3,0,0
136b0064,dataset/raw-data/ARC-ALL/data/evaluation/136b0064.json,15,19,15,20,0,285,300,1.052632,0.683333,16,20,320,1.122807,24,24,576,2.021053,20,20,400,1.403509,4,4,0,0
13e47133,dataset/raw-data/ARC-ALL/data/evaluation/13e47133.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,3,3,0,0
142ca369,dataset/raw-data/ARC-ALL/data/evaluation/142ca369.json,20,20,20,20,0,400,400,1.000000,0.555556,20,20,400,1.000000,24,24,576,1.440000,20,20,400,1.000000,3,3,0,0
16b78196,dataset/raw-data/ARC-ALL/data/evaluation/16b78196.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,1,1,1,1
16de56c4,dataset/raw-data/ARC-ALL/data/evaluation/16de56c4.json,21,12,24,12,0,252,288,1.142857,0.720000,24,12,288,1.142857,24,24,576,2.285714,24,24,576,2.285714,4,4,0,0
1818057f,dataset/raw-data/ARC-ALL/data/evaluation/1818057f.json,22,22,24,24,0,484,576,1.190083,0.462222,24,24,576,1.190083,24,24,576,1.190083,24,24,576,1.190083,4,4,0,0
195c6913,dataset/raw-data/ARC-ALL/data/evaluation/195c6913.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,3,3,0,0
1ae2feb7,dataset/raw-data/ARC-ALL/data/evaluation/1ae2feb7.json,20,13,20,15,0,260,300,1.153846,0.711111,20,16,320,1.230769,24,24,576,2.215385,20,20,400,1.538462,4,4,0,0
20270e3b,dataset/raw-data/ARC-ALL/data/evaluation/20270e3b.json,13,11,15,12,0,143,180,1.258741,0.841111,16,12,192,1.342657,16,16,256,1.790210,16,16,256,1.790210,5,6,0,0
20a9e565,dataset/raw-data/ARC-ALL/data/evaluation/20a9e565.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,2,5,0,0
21897d95,dataset/raw-data/ARC-ALL/data/evaluation/21897d95.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,5,5,0,0
221dfab4,dataset/raw-data/ARC-ALL/data/evaluation/221dfab4.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,3,3,0,0
247ef758,dataset/raw-data/ARC-ALL/data/evaluation/247ef758.json,20,15,20,15,0,300,300,1.000000,0.666667,20,16,320,1.066667,24,24,576,1.920000,20,20,400,1.333333,4,4,0,0
